Simulation,Method,Area,Time
57,LHS,1.518543,1.297131061553955
57,Antithetic Latin Sampling,1.520406,1.2649719715118408
57,Orthogonal Sampling,1.52154,0.5367331504821777
57,Antithetic Orthogonal Sampling,1.521855600391318,0.21869802474975586
58,Random Sampling,1.5188490000000001,1.3071980476379395
58,Antithetic Random Sampling,1.519272,0.23282408714294434
58,LHS,1.5214230000000002,1.301374912261963
58,Antithetic Latin Sampling,1.5191999999999999,1.2853450775146484
58,Orthogonal Sampling,1.521522,0.5506229400634766
58,Antithetic Orthogonal Sampling,1.520739263257504,0.21349596977233887
59,Random Sampling,1.5162390000000001,1.2693068981170654
59,Antithetic Random Sampling,1.519344,0.2361011505126953
59,LHS,1.5191279999999998,1.3004670143127441
59,Antithetic Latin Sampling,1.5236459999999998,1.2782080173492432
59,Orthogonal Sampling,1.521846,0.5006928443908691
59,Antithetic Orthogonal Sampling,1.5226658450852157,0.21518898010253906
60,Random Sampling,1.519758,1.2571320533752441
60,Antithetic Random Sampling,1.5232859999999997,0.237199068069458
60,LHS,1.518633,1.2941889762878418
60,Antithetic Latin Sampling,1.5226019999999998,1.2711737155914307
60,Orthogonal Sampling,1.521297,0.505558967590332
60,Antithetic Orthogonal Sampling,1.5218916112666028,0.21303200721740723
61,Random Sampling,1.525473,1.2534167766571045
61,Antithetic Random Sampling,1.519218,0.23941397666931152
61,LHS,1.520001,1.2971208095550537
61,Antithetic Latin Sampling,1.5175979999999998,1.2603759765625
61,Orthogonal Sampling,1.5213869999999998,0.49035072326660156
61,Antithetic Orthogonal Sampling,1.5221977037065195,0.21184396743774414
62,Random Sampling,1.519515,1.2632861137390137
62,Antithetic Random Sampling,1.515996,0.23781991004943848
62,LHS,1.5216660000000002,1.3065741062164307
62,Antithetic Latin Sampling,1.519902,1.2729039192199707
62,Orthogonal Sampling,1.521675,0.5009751319885254
62,Antithetic Orthogonal Sampling,1.5227198613981423,0.21267318725585938
63,Random Sampling,1.516725,1.2590508460998535
63,Antithetic Random Sampling,1.5199380000000002,0.2354741096496582
63,LHS,1.5257430000000003,1.3303048610687256
63,Antithetic Latin Sampling,1.5226739999999999,1.2896738052368164
63,Orthogonal Sampling,1.522017,0.49538207054138184
63,Antithetic Orthogonal Sampling,1.5219816384548133,0.21170783042907715
64,Random Sampling,1.523304,1.272963047027588
64,Antithetic Random Sampling,1.5281099999999999,0.24103784561157227
64,LHS,1.520559,1.3010361194610596
64,Antithetic Latin Sampling,1.5218639999999999,1.2645292282104492
64,Orthogonal Sampling,1.522251,0.49393796920776367
64,Antithetic Orthogonal Sampling,1.5219096167042445,0.21210694313049316
65,Random Sampling,1.519866,1.2645037174224854
65,Antithetic Random Sampling,1.5172020000000002,0.2298569679260254
65,LHS,1.520793,1.3054850101470947
65,Antithetic Latin Sampling,1.5198839999999998,1.2698087692260742
65,Orthogonal Sampling,1.522017,0.527947187423706
65,Antithetic Orthogonal Sampling,1.5216215297019702,0.2209320068359375
66,Random Sampling,1.5213059999999998,1.2746617794036865
66,Antithetic Random Sampling,1.5222779999999998,0.2357008457183838
66,LHS,1.520982,1.2965612411499023
66,Antithetic Latin Sampling,1.518696,1.2649281024932861
66,Orthogonal Sampling,1.5221069999999999,0.4972350597381592
66,Antithetic Orthogonal Sampling,1.5220716656430242,0.21639704704284668
67,Random Sampling,1.529451,1.252058982849121
67,Antithetic Random Sampling,1.5192360000000003,0.23226022720336914
67,LHS,1.520811,1.3108930587768555
67,Antithetic Latin Sampling,1.5216660000000002,1.2738780975341797
67,Orthogonal Sampling,1.521603,0.4952728748321533
67,Antithetic Orthogonal Sampling,1.521729562327823,0.21142816543579102
68,Random Sampling,1.524825,1.2646121978759766
68,Antithetic Random Sampling,1.525878,0.23840618133544922
68,LHS,1.52145,1.3049538135528564
68,Antithetic Latin Sampling,1.516572,1.273190975189209
68,Orthogonal Sampling,1.522008,0.502392053604126
68,Antithetic Orthogonal Sampling,1.5223417472076566,0.21161794662475586
69,Random Sampling,1.5196049999999999,1.262350082397461
69,Antithetic Random Sampling,1.5238260000000001,0.23527097702026367
69,LHS,1.5211709999999998,1.2990608215332031
69,Antithetic Latin Sampling,1.525644,1.2507619857788086
69,Orthogonal Sampling,1.521531,0.49480295181274414
69,Antithetic Orthogonal Sampling,1.5219276221418867,0.21094989776611328
70,Random Sampling,1.5209460000000001,1.2547130584716797
70,Antithetic Random Sampling,1.5257520000000002,0.23653078079223633
70,LHS,1.5240599999999997,1.2985033988952637
70,Antithetic Latin Sampling,1.523862,1.2511308193206787
70,Orthogonal Sampling,1.521378,0.5025100708007812
70,Antithetic Orthogonal Sampling,1.521711556890181,0.21207904815673828
71,Random Sampling,1.5201719999999999,1.2600128650665283
71,Antithetic Random Sampling,1.519218,0.23448967933654785
71,LHS,1.52226,1.2828831672668457
71,Antithetic Latin Sampling,1.521468,1.2619421482086182
71,Orthogonal Sampling,1.5223139999999997,0.4985008239746094
71,Antithetic Orthogonal Sampling,1.5221796982688773,0.21275901794433594
72,Random Sampling,1.520973,1.264611005783081
72,Antithetic Random Sampling,1.5215579999999997,0.2398519515991211
72,LHS,1.524915,1.2911229133605957
72,Antithetic Latin Sampling,1.5272819999999998,1.2644672393798828
72,Orthogonal Sampling,1.522341,0.49750328063964844
72,Antithetic Orthogonal Sampling,1.5221076765183086,0.21472525596618652
73,Random Sampling,1.526535,1.2540500164031982
73,Antithetic Random Sampling,1.5325379999999997,0.23854303359985352
73,LHS,1.5247709999999999,1.301574945449829
73,Antithetic Latin Sampling,1.524474,1.2619740962982178
73,Orthogonal Sampling,1.5218009999999997,0.49947190284729004
73,Antithetic Orthogonal Sampling,1.5218916112666028,0.21164488792419434
74,Random Sampling,1.53,1.2596380710601807
74,Antithetic Random Sampling,1.512972,0.2378532886505127
74,LHS,1.525284,1.304306983947754
74,Antithetic Latin Sampling,1.5185879999999998,1.2724049091339111
74,Orthogonal Sampling,1.521855,0.5188498497009277
74,Antithetic Orthogonal Sampling,1.5219816384548133,0.21329307556152344
75,Random Sampling,1.5283440000000001,1.2675158977508545
75,Antithetic Random Sampling,1.5171480000000002,0.23379302024841309
75,LHS,1.522503,1.3102452754974365
75,Antithetic Latin Sampling,1.5239159999999998,1.2689931392669678
75,Orthogonal Sampling,1.521324,0.4979360103607178
75,Antithetic Orthogonal Sampling,1.5218916112666028,0.21118593215942383
76,Random Sampling,1.521468,1.2579121589660645
76,Antithetic Random Sampling,1.5184440000000001,0.2366781234741211
76,LHS,1.519272,1.2985761165618896
76,Antithetic Latin Sampling,1.5235200000000002,1.262631893157959
76,Orthogonal Sampling,1.5218099999999999,0.4941558837890625
76,Antithetic Orthogonal Sampling,1.5215675133890436,0.2113492488861084
77,Random Sampling,1.524762,1.2651426792144775
77,Antithetic Random Sampling,1.529442,0.23923611640930176
77,LHS,1.524114,1.2878410816192627
77,Antithetic Latin Sampling,1.5218099999999999,1.2566189765930176
77,Orthogonal Sampling,1.521198,0.49191880226135254
77,Antithetic Orthogonal Sampling,1.522503796146436,0.21369385719299316
78,Random Sampling,1.528956,1.2479093074798584
78,Antithetic Random Sampling,1.5200459999999998,0.2367081642150879
78,LHS,1.5218009999999997,1.2878777980804443
78,Antithetic Latin Sampling,1.520604,1.271643877029419
78,Orthogonal Sampling,1.5217200000000002,0.5142788887023926
78,Antithetic Orthogonal Sampling,1.5227378668357845,0.21202993392944336
79,Random Sampling,1.525401,1.2483878135681152
79,Antithetic Random Sampling,1.5232680000000003,0.2396531105041504
79,LHS,1.5220259999999999,1.2792339324951172
79,Antithetic Latin Sampling,1.5141600000000002,1.2641263008117676
79,Orthogonal Sampling,1.521918,0.4992959499359131
79,Antithetic Orthogonal Sampling,1.5220176493300976,0.21255803108215332
80,Random Sampling,1.522017,1.242196798324585
80,Antithetic Random Sampling,1.529802,0.23528814315795898
80,LHS,1.524663,1.2891449928283691
80,Antithetic Latin Sampling,1.5197759999999998,1.256392002105713
80,Orthogonal Sampling,1.521774,0.49605703353881836
80,Antithetic Orthogonal Sampling,1.5211353828856313,0.21218395233154297
81,Random Sampling,1.5254550000000002,1.2492671012878418
81,Antithetic Random Sampling,1.5241500000000001,0.234907865524292
81,LHS,1.524816,1.2913987636566162
81,Antithetic Latin Sampling,1.520226,1.24778413772583
81,Orthogonal Sampling,1.5217919999999998,0.5048699378967285
81,Antithetic Orthogonal Sampling,1.5223237417700144,0.21690106391906738
82,Random Sampling,1.5199650000000002,1.2371320724487305
82,Antithetic Random Sampling,1.523142,0.23647618293762207
